duplicate_fp,fn,fp,gt,height,image,max_conf,mean_gt_best_iou,precision_image,pred,recall_image,tp,width
1,0,87,1,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-130_0029.png,0.6951021552085876,0.7056547980647857,0.011363636363636364,88,1.0,1,1024
0,0,28,1,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0021.png,0.7983793616294861,0.8288524996451486,0.034482758620689655,29,1.0,1,1024
0,0,19,1,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0022.png,0.7989971041679382,0.7864396205759604,0.05,20,1.0,1,1024
3,0,88,4,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0023.png,0.7856030464172363,0.8043132975766962,0.043478260869565216,92,1.0,4,1024
2,0,71,5,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0024.png,0.782926082611084,0.7865454593263657,0.06578947368421052,76,1.0,5,1024
1,0,106,5,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0025.png,0.785363495349884,0.7437134191129923,0.04504504504504504,111,1.0,5,1024
0,0,66,4,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0026.png,0.7984457612037659,0.7556189112870452,0.05714285714285714,70,1.0,4,1024
2,0,38,2,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0027.png,0.7416557669639587,0.7573531930048611,0.05,40,1.0,2,1024
1,0,25,4,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0028.png,0.7860537767410278,0.7824703315562959,0.13793103448275862,29,1.0,4,1024
13,0,68,11,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0004.png,0.8090904951095581,0.8141032925830476,0.13924050632911392,79,1.0,11,1024
10,0,89,11,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0005.png,0.7977702021598816,0.8088096253183639,0.11,100,1.0,11,1024
9,0,130,11,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0006.png,0.7868601083755493,0.8153178026444976,0.07801418439716312,141,1.0,11,1024
15,0,102,12,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0007.png,0.7968852519989014,0.8069935746212685,0.10526315789473684,114,1.0,12,1024
9,0,59,11,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0008.png,0.8120868802070618,0.8008557654832454,0.15714285714285714,70,1.0,11,1024
