aspect,bright_ratio_p95,contrast_p95_p5,dark_ratio_p5,edge_density,entropy,gradient_mean,gradient_p95,gray_cv,gray_mean,gray_p1,gray_p5,gray_p50,gray_p95,gray_p99,gray_std,height,image,laplacian_var,pixels,sha1,width
1.0,0.0501251220703125,137.0,0.055084228515625,0.114044189453125,6.771740291223854,17.301639556884766,52.36664581298828,0.7280404948215968,58.91399383544922,16.0,21.0,47.0,158.0,240.0,42.89177322387695,1024,/ssd_data/lixiang_data/Datasets/SAR_Aircraft_noMSAR_jpg_split/images/train/000003.jpg,4515.92626953125,1048576,160f101b971a629d977827bb5e8c1aef0b468483,1024
1.0,0.050144195556640625,203.0,0.05916595458984375,0.16306686401367188,7.316008033224699,25.22184944152832,75.8716049194336,0.8054840089474729,75.84140014648438,13.0,19.0,53.0,222.0,254.0,61.08903503417969,1024,/ssd_data/lixiang_data/Datasets/SAR_Aircraft_noMSAR_jpg_split/images/train/000010.jpg,7390.931640625,1048576,381ce26571f84fd6429509dfc8d554ec13297cc2,1024
1.0,0.05263519287109375,201.0,0.052074432373046875,0.15476226806640625,7.63122025420483,29.559715270996094,67.32941436767578,0.5012410906887075,128.20257568359375,36.0,49.0,109.0,250.0,255.0,64.2603988647461,1024,/ssd_data/lixiang_data/Datasets/SAR_Aircraft_noMSAR_jpg_split/images/train/000012.jpg,11450.7021484375,1048576,b9456b0151968eb3878c37c88adeb11951b7ac9f,1024
1.0,0.050304412841796875,172.0,0.05487823486328125,0.1614227294921875,7.442337655329285,28.760986328125,74.60060119628906,0.6440309171510672,83.32106018066406,18.0,24.0,69.0,196.0,244.0,53.661338806152344,1024,/ssd_data/lixiang_data/Datasets/SAR_Aircraft_noMSAR_jpg_split/images/train/000051.jpg,9765.01171875,1048576,2892c569928cc4fb94709346a054ff64360f5409,1024
1.0,0.050411224365234375,109.0,0.052623748779296875,0.13281631469726562,6.767335408821071,17.15085220336914,46.542991638183594,0.6315895578131041,56.0287971496582,15.0,20.0,44.0,129.0,177.0,35.387203216552734,1024,/ssd_data/lixiang_data/Datasets/SAR_Aircraft_noMSAR_jpg_split/images/train/000072.jpg,5070.49365234375,1048576,8a4fe8264464f9cb9281e3245484f38b5e72d372,1024
1.0,0.05004119873046875,182.0,0.063232421875,0.16065216064453125,7.152985510372885,24.966014862060547,77.24797821044922,0.8193522510823814,68.44123077392578,14.0,19.0,46.0,201.0,248.0,56.077476501464844,1024,/ssd_data/lixiang_data/Datasets/SAR_Aircraft_noMSAR_jpg_split/images/train/000087.jpg,8052.55517578125,1048576,17e939432e6f283bf75c1a4c1f2ee9f216926234,1024
1.0,0.050693511962890625,177.0,0.05365753173828125,0.154266357421875,7.553937512654727,26.010791778564453,67.76614379882812,0.606346913460967,91.91592407226562,18.0,25.0,83.0,202.0,248.0,55.73293685913086,1024,/ssd_data/lixiang_data/Datasets/SAR_Aircraft_noMSAR_jpg_split/images/train/000112.jpg,9614.8349609375,1048576,80c45d9de21daf910ffc652380f094caa11409e9,1024
1.0,0.050357818603515625,183.0,0.05524444580078125,0.15973281860351562,7.303785430674431,27.490447998046875,78.58911895751953,0.762345316525012,73.34088897705078,13.0,19.0,54.0,202.0,250.0,55.91108322143555,1024,/ssd_data/lixiang_data/Datasets/SAR_Aircraft_noMSAR_jpg_split/images/train/000145.jpg,8798.876953125,1048576,812ccc723157ed9d872942050ab44e9ce1c2e3fc,1024
1.0,0.05104827880859375,103.0,0.053974151611328125,0.12546157836914062,6.620354858454678,17.3211727142334,52.65216064453125,0.6862015150746389,51.65122604370117,15.0,19.0,40.0,122.0,195.0,35.44314956665039,1024,/ssd_data/lixiang_data/Datasets/SAR_Aircraft_noMSAR_jpg_split/images/train/000154.jpg,4664.619140625,1048576,496e6fd61c3034621658dbf0a71b34aff4352b07,1024
1.0,0.050907135009765625,204.0,0.05621337890625,0.14770126342773438,7.236368093082694,21.468425750732422,68.22206115722656,0.8288751206141075,73.88134765625,14.0,19.0,51.0,223.0,254.0,61.23841094970703,1024,/ssd_data/lixiang_data/Datasets/SAR_Aircraft_noMSAR_jpg_split/images/train/000163.jpg,6147.4833984375,1048576,25fb06e630dd44893cc79c845e9cc0473ae18b98,1024
