aspect,bright_ratio_p95,contrast_p95_p5,dark_ratio_p5,edge_density,entropy,gradient_mean,gradient_p95,gray_cv,gray_mean,gray_p1,gray_p5,gray_p50,gray_p95,gray_p99,gray_std,height,image,laplacian_var,pixels,sha1,width
1.0,0.05108642578125,59.0,0.0599822998046875,0.0750274658203125,6.065133403805142,10.984186172485352,27.536338806152344,0.6525114684284632,40.69595718383789,14.0,18.0,34.0,77.0,172.0,26.55457878112793,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0004.png,1477.636962890625,1048576,61d10621f2a316ee178a48467524f251786bbe25,1024
1.0,0.051380157470703125,69.0,0.05609130859375,0.07964706420898438,6.203748478335734,11.858158111572266,32.30615234375,0.7371523411144182,43.743770599365234,14.0,18.0,36.0,87.0,223.0,32.24582290649414,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0005.png,1694.966064453125,1048576,953336a563407d09c6b44e7e6267c7f8cdd857d9,1024
1.0,0.0503997802734375,71.0,0.0564117431640625,0.08014297485351562,6.221638417502993,11.938028335571289,32.649654388427734,0.7476481395333362,44.14127731323242,14.0,18.0,36.0,89.0,229.0,33.00214385986328,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0006.png,1737.3834228515625,1048576,47895a4b55187d267739bac490dc3e3a42c4b303,1024
1.0,0.05081939697265625,74.0,0.055660247802734375,0.08113479614257812,6.249034915158417,11.999515533447266,33.241539001464844,0.7621115462327879,44.87712860107422,14.0,18.0,36.0,92.0,238.0,34.201377868652344,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0007.png,1742.7098388671875,1048576,89d01cbf398068438db54e6d3e6a6d2926bf0d2b,1024
1.0009775171065494,0.0509490966796875,74.0,0.055248260498046875,0.07939529418945312,6.249445120308717,11.997507095336914,33.203914642333984,0.767681800429289,44.98845672607422,14.0,18.0,36.0,92.0,239.0,34.53681945800781,1023,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0008.png,1772.9857177734375,1047552,3060f70b2ba9d41d6855f27ca618e928b4b9f336,1024
1.0,0.05096435546875,68.0,0.0583648681640625,0.07744979858398438,6.172346696166485,11.531081199645996,30.92733383178711,0.7520074876751955,43.206581115722656,14.0,18.0,35.0,86.0,227.0,32.49167251586914,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0009.png,1656.0693359375,1048576,01fa0b9fc380a80a010f49c4935a4803a74d2614,1024
1.0,0.050792694091796875,59.0,0.06505203247070312,0.0767974853515625,6.034917472585794,10.620870590209961,26.625587463378906,0.6975876698250364,40.17645263671875,14.0,18.0,33.0,77.0,188.0,28.02659797668457,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0010.png,1397.7313232421875,1048576,da757b351d49df2a14492275c1099034ca8c512a,1024
1.0,0.05108642578125,61.0,0.0619659423828125,0.0736541748046875,6.054090899647934,11.150222778320312,29.74054527282715,0.7063556207878305,40.70895767211914,14.0,18.0,34.0,79.0,194.0,28.755001068115234,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0011.png,1586.5482177734375,1048576,0125e2287c4d998629b740464aa27b4b2dee57a5,1024
1.0,0.050037384033203125,66.0,0.057643890380859375,0.074005126953125,6.075067704097024,11.575422286987305,33.03407287597656,0.7417966223222999,41.59365463256836,14.0,18.0,34.0,84.0,211.0,30.854032516479492,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0012.png,1699.7620849609375,1048576,24b60b4825482e66efc46066ef5d6ace09e9a0fa,1024
1.0,0.050830841064453125,69.0,0.052738189697265625,0.07640457153320312,6.112407100652934,11.871063232421875,34.441978454589844,0.7489030922475571,42.58857345581055,14.0,18.0,35.0,87.0,219.0,31.89471435546875,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0013.png,1809.538330078125,1048576,8f6c392da155594073fb90af61393e6913d6dd3b,1024
